                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3445,                 11.942,                 2.7016,                0.00133,                 0.2807,                0.05793,                0.03076,                 3.9802,                 12.294,                  2.425,                0.00036,                0.00036,                0.00036
                      2,                 3.0916,                 8.9278,                 2.3841,                0.00158,                0.33333,                0.00384,                0.00208,                  3.784,                 12.145,                 2.3751,             0.00073267,             0.00073267,             0.00073267
                      3,                 3.2503,                  7.941,                 2.4471,                0.00079,                0.16667,                0.00128,                0.00056,                 4.3365,                  12.45,                 2.9776,              0.0010978,              0.0010978,              0.0010978
                      4,                 3.2663,                 7.1955,                 2.4181,                0.00102,                0.15789,                0.01373,                0.00379,                 4.3113,                 12.377,                  3.429,              0.0014555,              0.0014555,              0.0014555
                      5,                  3.432,                  6.942,                 2.6119,                  0.553,                0.12281,                0.10749,                0.04065,                 4.1458,                 10.724,                  3.505,              0.0018056,              0.0018056,              0.0018056
                      6,                 3.4646,                 6.1574,                  2.615,                 0.2413,                0.15789,                0.09123,                0.04152,                 4.2142,                 12.683,                  3.287,               0.001901,               0.001901,               0.001901
                      7,                 3.2815,                 5.7901,                 2.6101,                0.51415,                0.33419,                 0.3617,                0.13894,                 4.2093,                 5.5262,                 3.0896,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.2109,                 4.9898,                  2.512,                  0.343,                0.35965,                0.27949,                0.11295,                 4.1459,                 5.2773,                 2.8419,              0.0018614,              0.0018614,              0.0018614
                      9,                 3.3464,                 5.0606,                 2.6109,                0.39888,                0.09649,                0.08818,                0.04443,                 5.4846,                 6.5883,                 4.2824,              0.0018416,              0.0018416,              0.0018416
                     10,                 3.1914,                  4.661,                 2.4735,                0.37539,                0.26316,                0.22931,                0.07903,                 4.7388,                 5.0525,                 3.3533,              0.0018218,              0.0018218,              0.0018218
                     11,                 3.1918,                 4.1305,                  2.472,                0.40394,                0.39474,                0.38309,                0.14864,                 4.1203,                  5.122,                  2.751,               0.001802,               0.001802,               0.001802
